<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	0.72582	0.72770	0.71838	0.71905	28387	0	0
2022.01.04	0.71894	0.72488	0.71838	0.72403	27676	0	0
2022.01.05	0.72374	0.72722	0.72149	0.72213	35138	0	0
2022.01.06	0.72183	0.72224	0.71458	0.71616	38823	0	0
2022.01.07	0.71590	0.71876	0.71295	0.71812	33368	0	0
2022.01.10	0.71662	0.72024	0.71490	0.71735	35075	0	0
2022.01.11	0.71628	0.72134	0.71549	0.72093	36386	0	0
2022.01.12	0.72088	0.72923	0.72006	0.72833	37108	0	0
2022.01.13	0.72818	0.73142	0.72733	0.72815	37016	0	0
2022.01.14	0.72786	0.72937	0.71985	0.72163	45945	0	0
2022.01.17	0.72112	0.72291	0.71958	0.72090	29278	0	0
2022.01.18	0.72064	0.72278	0.71700	0.71833	49397	0	0
2022.01.19	0.71827	0.72383	0.71769	0.72101	46043	0	0
2022.01.20	0.72088	0.72763	0.72067	0.72256	45339	0	1
2022.01.21	0.72225	0.72284	0.71714	0.71748	65059	0	1
2022.01.24	0.71715	0.71875	0.70906	0.71435	72489	0	1
2022.01.25	0.71435	0.71747	0.71214	0.71514	86274	0	0
2022.01.26	0.71519	0.71814	0.70955	0.71151	88074	0	1
2022.01.27	0.71137	0.71213	0.70238	0.70339	101108	0	1
2022.01.28	0.70339	0.70458	0.69676	0.69956	95590	0	1
2022.01.31	0.69890	0.70765	0.69862	0.70668	66073	0	1
2022.02.01	0.70642	0.71300	0.70331	0.71280	71736	0	1
2022.02.02	0.71272	0.71589	0.71182	0.71359	60641	0	1
2022.02.03	0.71328	0.71683	0.71095	0.71397	74308	0	1
2022.02.04	0.71352	0.71515	0.70516	0.70775	61674	0	1
2022.02.07	0.70727	0.71302	0.70651	0.71256	42999	0	1
2022.02.08	0.71244	0.71466	0.71064	0.71454	38570	0	1
2022.02.09	0.71441	0.71946	0.71416	0.71783	30965	0	0
2022.02.10	0.71764	0.72487	0.71468	0.71664	63524	0	1
2022.02.11	0.71646	0.71848	0.71084	0.71359	80668	0	1
2022.02.14	0.71275	0.71500	0.70861	0.71263	78174	0	1
2022.02.15	0.71235	0.71562	0.71017	0.71510	55800	0	0
2022.02.16	0.71511	0.72048	0.71432	0.71939	49910	0	1
2022.02.17	0.71924	0.72174	0.71495	0.71863	79171	0	1
2022.02.18	0.71843	0.72278	0.71647	0.71775	65454	0	1
2022.02.21	0.71685	0.72223	0.71663	0.71888	57862	0	1
2022.02.22	0.71867	0.72333	0.71715	0.72186	87132	0	1
2022.02.23	0.72160	0.72835	0.72152	0.72337	59772	0	1
2022.02.24	0.72312	0.72324	0.70945	0.71624	153965	0	1
2022.02.25	0.71621	0.72375	0.71396	0.72317	102273	0	1
2022.02.28	0.71790	0.72653	0.71674	0.72620	101994	0	1
2022.03.01	0.72598	0.72895	0.72380	0.72518	80277	0	1
2022.03.02	0.72504	0.73067	0.72433	0.72963	88127	0	1
2022.03.03	0.72951	0.73477	0.72761	0.73286	73470	0	1
2022.03.04	0.73259	0.73806	0.73002	0.73739	93501	0	1
2022.03.07	0.73702	0.74413	0.73114	0.73163	125324	0	1
2022.03.08	0.73124	0.73481	0.72451	0.72695	120306	0	1
2022.03.09	0.72658	0.73372	0.72610	0.73213	77923	0	1
2022.03.10	0.73179	0.73674	0.72873	0.73584	76362	0	1
2022.03.11	0.73480	0.73669	0.72819	0.72938	72496	0	1
2022.03.14	0.72887	0.72982	0.71860	0.71903	65527	0	1
2022.03.15	0.71881	0.72276	0.71654	0.71949	67895	0	1
2022.03.16	0.71938	0.72968	0.71805	0.72875	82587	0	1
2022.03.17	0.72864	0.73931	0.72811	0.73753	68660	0	1
2022.03.18	0.73744	0.74178	0.73604	0.74124	55974	0	1
2022.03.21	0.74012	0.74243	0.73737	0.73966	48764	0	1
2022.03.22	0.73937	0.74711	0.73755	0.74644	52216	0	1
2022.03.23	0.74636	0.75074	0.74502	0.74967	55885	0	1
2022.03.24	0.74960	0.75280	0.74662	0.75112	62365	0	0
2022.03.25	0.75100	0.75368	0.74947	0.75155	64123	0	0
2022.03.28	0.75000	0.75404	0.74665	0.74883	77544	0	0
2022.03.29	0.74861	0.75186	0.74562	0.75083	85836	0	0
2022.03.30	0.75027	0.75367	0.74997	0.75094	70627	0	0
2022.03.31	0.75087	0.75251	0.74703	0.74809	77910	0	0
2022.04.01	0.74815	0.75249	0.74727	0.74954	63240	0	0
2022.04.04	0.74867	0.75564	0.74825	0.75420	49688	0	0
2022.04.05	0.75411	0.76614	0.75358	0.75778	63307	0	0
2022.04.06	0.75760	0.75935	0.74852	0.75084	75771	0	0
2022.04.07	0.75051	0.75185	0.74666	0.74791	64749	0	0
2022.04.08	0.74791	0.74928	0.74263	0.74589	56723	0	0
2022.04.11	0.74561	0.74648	0.74134	0.74165	60186	0	0
2022.04.12	0.74149	0.74936	0.73993	0.74549	70972	0	0
2022.04.13	0.74510	0.74746	0.73917	0.74511	68607	0	0
2022.04.14	0.74493	0.74683	0.73971	0.74175	65144	0	0
2022.04.15	0.74148	0.74182	0.73900	0.73961	30584	0	1
2022.04.18	0.73889	0.74035	0.73428	0.73484	46043	0	0
2022.04.19	0.73467	0.74001	0.73403	0.73756	59359	0	0
2022.04.20	0.73732	0.74573	0.73690	0.74500	62856	0	0
2022.04.21	0.74475	0.74581	0.73648	0.73706	63511	0	0
2022.04.22	0.73683	0.73766	0.72347	0.72431	73144	0	0
2022.04.25	0.72401	0.72537	0.71348	0.71777	101456	0	0
2022.04.26	0.71750	0.72288	0.71186	0.71218	84767	0	0
2022.04.27	0.71188	0.71906	0.71011	0.71255	101034	0	0
2022.04.28	0.71234	0.71620	0.70550	0.70954	108088	0	0
2022.04.29	0.70893	0.71798	0.70589	0.70598	87531	0	0
2022.05.02	0.70672	0.70820	0.70299	0.70503	90281	0	0
2022.05.03	0.70467	0.71474	0.70442	0.70959	83053	0	0
2022.05.04	0.70938	0.72649	0.70882	0.72587	91027	0	0
2022.05.05	0.72529	0.72658	0.70773	0.71120	119233	0	0
2022.05.06	0.71117	0.71351	0.70584	0.70704	145709	0	0
2022.05.09	0.70642	0.70693	0.69446	0.69498	122374	0	0
2022.05.10	0.69483	0.69860	0.69108	0.69347	143369	0	0
2022.05.11	0.69347	0.70534	0.69274	0.69328	130602	0	0
2022.05.12	0.69333	0.69526	0.68289	0.68534	151134	0	0
2022.05.13	0.68534	0.69404	0.68521	0.69394	92129	0	0
2022.05.16	0.69192	0.69825	0.68722	0.69680	100613	0	0
2022.05.17	0.69680	0.70409	0.69633	0.70259	93230	0	0
2022.05.18	0.70259	0.70463	0.69491	0.69519	84307	0	0
2022.05.19	0.69517	0.70723	0.69499	0.70463	132930	0	0
2022.05.20	0.70470	0.70737	0.70022	0.70461	99157	0	0
